Dataset,Primary_Model,Secondary_Model,Hybrid_Combination,Accuracy,Precision,Recall,F1_Score,AUC,Time_Seconds
D3,M4,M10,M4 + M10,0.983,0.9958677685950413,0.9698189134808853,0.9826707441386341,0.9974679088447185,0.6905701160430908
D3,M5,M10,M5 + M10,0.936,0.9577167019027484,0.9114688128772636,0.934020618556701,0.9799472781020118,1.1591079235076904
D4,M1,M6,M1 + M6,0.999,0.5,1.0,0.6666666666666666,0.9994994994994996,1.2220370769500732
D4,M2,M6,M2 + M6,0.999,0.0,0.0,0.0,1.0,0.735220193862915
D4,M3,M6,M3 + M6,0.999,0.0,0.0,0.0,1.0,0.19462919235229492
D4,M4,M6,M4 + M6,0.999,0.0,0.0,0.0,1.0,0.26643824577331543
D4,M5,M6,M5 + M6,0.998,0.0,0.0,0.0,0.2652652652652653,0.6125550270080566
D4,M1,M7,M1 + M7,0.999,0.5,1.0,0.6666666666666666,0.9994994994994996,1.203944206237793
D4,M2,M7,M2 + M7,0.999,0.0,0.0,0.0,1.0,0.38829898834228516
D4,M3,M7,M3 + M7,0.999,0.0,0.0,0.0,1.0,0.18640899658203125
D4,M4,M7,M4 + M7,0.999,0.0,0.0,0.0,1.0,0.2730588912963867
D4,M5,M7,M5 + M7,0.996,0.0,0.0,0.0,0.09009009009009006,0.612802267074585
D4,M1,M8,M1 + M8,0.999,0.5,1.0,0.6666666666666666,0.9994994994994996,1.1814289093017578
D4,M2,M8,M2 + M8,0.999,0.0,0.0,0.0,1.0,0.29621410369873047
D4,M3,M8,M3 + M8,0.999,0.0,0.0,0.0,1.0,0.18120598793029785
D4,M4,M8,M4 + M8,0.999,0.0,0.0,0.0,1.0,0.2667851448059082
D4,M5,M8,M5 + M8,0.998,0.0,0.0,0.0,0.33333333333333337,0.624107837677002
D4,M1,M9,M1 + M9,0.999,0.5,1.0,0.6666666666666666,0.9994994994994996,1.1809320449829102
D4,M2,M9,M2 + M9,0.999,0.0,0.0,0.0,1.0,0.28650999069213867
D4,M3,M9,M3 + M9,0.999,0.0,0.0,0.0,1.0,0.18247175216674805
D4,M4,M9,M4 + M9,0.999,0.0,0.0,0.0,1.0,0.2687511444091797
D4,M5,M9,M5 + M9,0.999,0.0,0.0,0.0,0.8828828828828829,0.6558599472045898
D4,M1,M10,M1 + M10,0.999,0.5,1.0,0.6666666666666666,0.9994994994994996,1.1807172298431396
D4,M2,M10,M2 + M10,0.999,0.0,0.0,0.0,1.0,0.2976949214935303
D4,M3,M10,M3 + M10,0.999,0.0,0.0,0.0,1.0,0.18085503578186035
D4,M4,M10,M4 + M10,0.999,0.0,0.0,0.0,1.0,0.2672402858734131
D4,M5,M10,M5 + M10,0.834,0.0,0.0,0.0,0.11111111111111116,0.4861769676208496
D5,M1,M6,M1 + M6,0.995,0.5454545454545454,1.0,0.7058823529411765,0.9972334004024145,0.7555491924285889
D5,M2,M6,M2 + M6,0.992,0.0,0.0,0.0,0.9885982562038901,0.5047159194946289
D5,M3,M6,M3 + M6,0.994,0.5,0.16666666666666666,0.25,0.9963112005365526,0.09566521644592285
D5,M4,M6,M4 + M6,0.994,0.0,0.0,0.0,0.993963782696177,0.24761700630187988
D5,M5,M6,M5 + M6,0.963,0.030303030303030304,0.16666666666666666,0.05128205128205128,0.5216297786720322,0.43230319023132324
D5,M1,M7,M1 + M7,0.992,0.375,0.5,0.42857142857142855,0.9948021462105969,0.7506122589111328
